Skip to content|跳到正文
Open the shared brief, resolve any conflicts, and complete the human approval gate.|打开共享简报，解决分歧，再由双方确认。
One decision at a time|一次只做一个决定
Why now:|为什么问这个：
Save and pause questions|保存并暂停提问
The agent exchange will appear here.|双方协调消息将在这里显示。
Design reference · secondary source|设计参考 · 二手资料
Related topics:|相关主题：
General context|一般背景
Read the definition & source excerpt|阅读定义与参考摘录
Discuss how these ideas fit your activities, space and care preferences.|结合你的活动、空间和养护偏好，讨论这些想法是否适合。
No supporting excerpts yet. Confirm a preference to search the handbook. Your brief can describe a custom direction even when the library has no match.|暂时没有相关摘录。确认偏好后即可检索参考资料。即使资料库没有匹配内容，简报也可以描述你自己的方向。
Shared terminology|共同术语
Saved Singapore home|已收藏的新加坡住宅
Sample note|示例笔记
Your note|你的笔记
No note added|尚未添加笔记
View original project on Qanvast ↗|在 Qanvast 查看原始项目 ↗
Choose the details you like|选择喜欢的细节
Home reference|住宅参考
Image observation|图片观察
From your note|来自你的笔记
Is this something you want?|这是否是你想要的？
Yes, use this|是的，采用这一项
Not for me|不适合我
Alignment decisions|需要对齐的决定
Open conflicts|待解决的分歧
Accept constraint|接受约束
Retain preference|保留偏好
Discuss offline|线下讨论
No unresolved disagreement. New constraints are cross-checked automatically.|目前没有未解决的分歧，新增约束会自动交叉核对。
Answer the adaptive questions to build the brief.|回答自适应问题，逐步完善简报。
Project intent|项目意图
Not stated yet|尚未填写
Confirmed design language|已确认的设计语言
Design details|设计细节
Review after your preference changed|大方向已更改，请重新核对
Optional details will appear here.|可选的细节回答将在这里显示。
None recorded|暂无记录
Designer constraints|设计师约束
Withdrawn by designer|设计师已撤回
No constraints recorded|尚未记录约束
Supporting design references|相关设计参考
No supporting excerpts recorded.|尚未记录相关摘录。
Open decisions|待确认事项
Both participants approved this version. Ready to export.|双方已确认这个版本，可以导出。
Ready for both approvals.|可以请双方确认。
Complete missing decisions:|请补充未确认的决定：
Resolve open conflicts and critical professional review tasks.|解决尚未完成的分歧和关键专业审核事项。
Approved|已确认
Waiting|等待确认
Analysis runs|分析记录
Input tokens:|输入词元：
Output tokens:|输出词元：
unavailable|不可用
No model calls yet.|尚无模型调用。
Token counts may be unavailable for failed calls. Check team quota in Slack.|失败调用可能无法提供词元统计。团队额度可在 Slack 中查看。
Continue a project|继续已有项目
Your shared brief is ready|共享简报已准备好
Review and approve together|一起审阅和确认
Add the practical perspective|补充实际使用视角
Tell us what feels right|告诉我们什么让你觉得舒服
Open Shared brief. Each participant approves from their own browser session. Any edit asks both people to review again.|打开共享简报，各方从自己的浏览器会话中确认。内容修改后双方需要重新审阅。
Review the homeowner’s preferences, answer the layout and care questions, then add any constraints.|审阅业主偏好，回答布局和养护问题，再补充必要约束。
Answer one question at a time. References are optional. Invite your designer to check layout, care and constraints.|一次回答一个问题，参考资料是可选的。邀请设计师核对布局、养护和约束。
Image observations require your confirmation. Visible does not mean preferred.|图片观察需要你确认，看得见的元素不代表你喜欢。
AI reads your notes. This gateway has not passed image-input verification; image pixels are not analysed.|AI 会阅读你的笔记。当前服务尚未验证图片输入能力，因此不会分析图片像素。
Offline mode reads explicit keywords in your notes. It does not inspect image pixels.|本地模式读取笔记中明确的中英文关键词，不分析图片像素。
Suggest elements from references|从参考中提议元素
Bring the practical details into the brief. Explain the impact of each constraint.|将实际条件补充到简报中，并说明每项约束的影响。
A space for your designer’s expertise. Invite them to add layout, care and everyday activities.|这里留给设计师补充专业意见，包括布局、养护和日常活动。
Share this private link with your designer. It expires in 24 hours and works once. For solo testing, open it in a private window.|将这个私人链接分享给设计师。链接 24 小时后过期且只能使用一次。独自测试时请在隐私窗口打开。
Offline note rules completed. No image pixels or model were used.|本地笔记分析完成，未使用模型或图片像素。
Reference uploaded with its provenance note.|参考及来源说明已保存。
Reference analysis complete. Review every tentative attribute before it enters the brief.|参考分析完成。请逐项审阅建议后再纳入简报。
Decision revised. Both approvals must be renewed.|决定已修改，双方需要重新确认。
Review the sample note, suggest preferences, then answer a few questions. Invite a designer to finish the practical decisions.|先阅读示例笔记并提取偏好，再回答几个问题。邀请设计师完成实际条件的确认。
Saved for this visit. Browser storage is unavailable.|本次访问已保存，但浏览器存储暂不可用。
Keep up to 6 homes in your collection. Unsave one to make room.|最多收藏六个住宅，请先取消一个收藏。
View photography at the source ↗|前往来源查看图片 ↗
Source image tags|原始图片标签
Compare|对比
Keep exploring.|继续探索。
Try Search more homes to look beyond this collection, or change the style and words.|点击搜索更多住宅，或调整风格和关键词。
Reset filters|重置筛选
Finding inspiration…|正在寻找灵感…
Searching the source collection…|正在搜索来源网站…
Search is temporarily unavailable. Your current collection is still here; try again shortly.|搜索暂不可用，现有收藏仍然保留，请稍后重试。
What to notice|值得观察的细节
A style observation prompt from AlignSpace; decide what applies to this image.|这是 AlignSpace 提供的风格观察提示，请自己判断哪些适用于这张图片。
No image tags supplied|来源未提供图片标签
Home type|房屋类型
Home area|住宅面积
Completed|完工时间
Not listed|未提供
Spaces photographed|拍摄空间
MAKE IT YOURS|找到属于你的细节
Start with this inspiration ↗|从这份灵感开始 ↗
View original project & photos on Qanvast ↗|在 Qanvast 查看原始项目和照片 ↗
Which details do you want to combine? Use the images to explain your own preferences.|你想组合哪些细节？用图片说明你自己的偏好。
Home comparison table|住宅对比表
Compare your design references|对比你的设计参考
Original source|原始来源
Unsave a home first; your collection holds up to 6.|请先取消一个收藏，最多可保留六个住宅。
Compare up to 3 homes at a time.|每次最多对比三个住宅。
The collection couldn’t load. You can still start a room brief below.|案例暂时无法加载，你仍然可以在下方开始空间简报。
Retry collection|重新加载案例
Which two details would you keep, and what would you change to make this room feel like you?|你想保留哪两个细节？又会改变什么，让这个空间更像你的家？
Look at pale timber, soft textures and the balance of light and warmth.|观察浅色木材、柔软肌理，以及明亮与温暖之间的平衡。
Look at visual simplicity, concealed storage and the space between objects.|观察简洁的视觉、隐藏收纳，以及物件之间的留白。
Look at exposed surfaces, metal details and contrasting textures.|观察裸露表面、金属细节和不同肌理之间的对比。
Look at the focal point, layered surfaces and the mix of furniture shapes.|观察视觉焦点、表面层次，以及家具形状的组合。
Look at clean lines, repeated materials and how the room flows.|观察利落线条、重复出现的材料和空间动线。
Look at how contrasting colours, objects and eras are brought together.|观察对比色彩、不同物件和年代感如何结合。
Look at timber, tactile finishes and the balance of warmth and simplicity.|观察木材、富有触感的饰面，以及温暖与简洁的平衡。
Look at uneven textures, muted colours and materials that show their character.|观察不规则肌理、低饱和色彩，以及保留自身特征的材料。
HDB 2-room Flexi|组屋二房式灵活单位
HDB 3-room|组屋三房式
HDB 4-room|组屋四房式
HDB 5-room|组屋五房式
HDB Executive Apartment|组屋行政公寓
HDB Executive / Maisonette|组屋行政复式
HDB 3Gen|组屋三代同堂型
HDB Jumbo|组屋合并大户型
Condo / EC|公寓 / 执行共管公寓
Condo studio|公寓开间
Condo 1-bedroom|一卧室公寓
Condo 2-bedroom|两卧室公寓
Condo 3-bedroom|三卧室公寓
Condo 4+ bedrooms|四卧及以上公寓
Executive Condominium|执行共管公寓
Penthouse|顶层公寓
Duplex apartment|复式公寓
Loft apartment|挑高阁楼公寓
Walk-up apartment|无电梯公寓
Terrace house|联排住宅
Corner terrace|端头联排住宅
Semi-detached house|半独立住宅
Detached house / Bungalow|独立住宅 / 洋房
Cluster house|集群式住宅
Shophouse residence|店屋住宅
Other housing type|其他房屋类型
Not sure yet|暂不确定
No fixed style — combine individual preferences|不限定风格，组合自己的偏好
Warm modern|温暖现代
Japandi|日式北欧
Contemporary luxe|当代轻奢
Industrial|工业风
Scandinavian|北欧风
Calm|宁静
Cosy|温馨
Bright|明亮
Dramatic|富有戏剧感
Social|适合社交
Warm neutrals|暖中性色
Light neutrals|浅中性色
Earthy tones|大地色
Monochrome|单色系
Deep tones|深色调
Light oak|浅橡木
Walnut|胡桃木
Stone|石材
Metal|金属
Soft textiles|柔软织物
Soft layered light|柔和分层灯光
Bright natural light|明亮自然光
Warm ambient light|暖色氛围光
Statement lighting|造型主灯
Task-focused light|功能照明
Family relaxing|家人放松
Hosting|待客
TV and media|影音娱乐
Flexible use|灵活使用
Quiet retreat|安静休憩
Open flow|开放动线
Zoned layout|分区布局
Compact layout|紧凑布局
Conversation-focused|围绕对话
Storage-led|收纳优先
Easy care|易打理
Balanced care|适度养护
Premium care|精细养护
Reference assistant|参考助手
Homeowner|业主
Designer|设计师
Alignment Agent|对齐助手
Homeowner Agent|业主助手
Designer Agent|设计师助手
Homeowner And Designer|业主与设计师
Style|风格
Colour|色彩
Material|材料
Lighting|照明
Layout|布局
Mood|氛围
Function|功能
Maintenance|养护
Space|空间
Timeline|时间安排
Safety|安全
None|无
Round|轮次
Question|问题
turn|回答
confirmed decisions|个已确认决定
approved|已确认
homeowner|业主
designer|设计师
brief|简报
Condo|公寓
Landed|有地住宅
Contemporary|当代风
Modern|现代风
Minimalist|极简风
Eclectic|混搭风
Wabi-Sabi|侘寂风
HDB & BTO|组屋与预购组屋
Area not listed|面积未提供
Area|面积
Home|住宅
preview|个预览
previews|个预览
in your collection|已收藏
from your search|来自搜索
to explore|可探索
shown|已显示
Show|显示
more homes ↓|个住宅 ↓
homes selected|个住宅已选择
results at Qanvast.|条结果，来源 Qanvast。
Photo:|摄影：
Preview checked|预览核对日期
Design by|设计：
Unsave|取消收藏
Save|收藏
by|设计：
via|来源
Brief|简报
You are here as the|当前身份：
to|发送给
Which overall direction feels most like the home you want?|哪个整体方向更像你想要的家？
Style separates the broadest groups of references.|先明确大方向，有助于区分参考案例。
What should the living room feel like most of the time?|你希望客厅平时带来什么感受？
Mood helps translate subjective words into design decisions.|氛围可以把主观感受转化成设计决定。
Which colour family should dominate the room?|哪一组色彩应该主导空间？
Colour quickly removes visually incompatible directions.|色彩有助于排除视觉上不合适的方向。
Which material would you most like to see repeated?|你最想让哪种材料反复出现在空间里？
A repeated material gives the designer a concrete visual anchor.|重复使用的材料能给设计师一个具体的视觉线索。
Which lighting character matters most to you?|你最看重哪种灯光特征？
Lighting strongly changes how colours and materials are perceived.|灯光会明显改变色彩和材料的观感。
What is the living room's most important everyday job?|客厅最重要的日常用途是什么？
The main activity determines priorities before styling details.|主要活动决定设计重点，然后再细化风格。
Which layout strategy is most feasible for this project?|哪种布局策略最适合这个项目？
The designer validates that the preferred direction fits the space.|由设计师核对偏好是否适合实际空间。
Which maintenance profile should guide material selection?|材料选择应遵循哪种养护要求？
This turns lifestyle expectations into a practical design constraint.|把生活习惯转化为可执行的设计条件。
I will ask the smallest number of high-value questions needed to turn inspiration into a shared brief.|我会用尽可能有帮助的问题，把灵感逐步整理成共享简报。
The homeowner's goals and anti-preferences have been structured for review.|业主的目标与需要避免的内容已整理好，可以一起审阅。
Model observations are suggestions, not confirmed preferences. Confirm only the elements you want in your room.|模型观察只是建议，并不是已确认偏好。请只确认你真正想要的元素。
The references do not contain enough explicit evidence for a safe proposal, so I will clarify with questions instead.|参考中没有足够明确的依据来提出偏好建议，接下来可以通过问答澄清。
Your project now uses the updated alignment brief. Review it together and approve this version.|项目已使用更新的对齐简报，请双方一起审阅并确认此版本。
Confirmed|已确认
Choose|选择
awaiting approval|等待确认
Awaiting Approval|等待确认
Homeowner Review|业主审阅
Designer Review|设计师审阅
Alignment|对齐
Review|审阅
Source search unavailable|来源搜索暂不可用
Source previews only; open the source for its complete results.|这里展示来源预览，完整结果可在来源网站查看。
living room|客厅
contemporary living room|当代风客厅
apartment|公寓
bomb shelter|防空储藏室
houshold shelter|家庭防护室
household shelter|家庭防护室
tv console|电视柜
false ceiling|吊顶
downlight|筒灯
Bedroom|卧室
Dining Room|餐厅
Kitchen|厨房
Living Room|客厅
Bathroom|浴室
Study|书房
Balcony|阳台
Entrance|入口
Corridor|走廊
arch|拱形
arched shelf|拱形层架
bench|长凳
brick wall|砖墙
ceiling design|天花设计
colourful|多彩
commercial|商业空间
condo|公寓
contemporary|当代风
dark|深色
eclectic|混搭风
entrance|入口
farmhouse|乡村风
flatscreen tv|平板电视
foyer|门厅
indented shelves|嵌入层架
industrial|工业风
japandi|日式北欧
kitchen|厨房
minimalistic|极简风
modern luxe|现代轻奢
modern|现代风
platform|地台
rattan|藤编
retro|复古
scandinavian|北欧风
settee|长椅沙发
shoe cabinet|鞋柜
transitional|过渡风格
tv feature wall|电视背景墙
unique|独特
wabi sabi|侘寂风
wabi-sabi|侘寂风
white cabinet|白色柜体
wooden floor|木地板
wooden television console|木质电视柜
Anchor description|风格定义
Color adjacency (Albers / simultaneous contrast)|相邻色彩与同时对比
Materials and Color|材料与色彩
Warm vs. cool palettes|暖色与冷色组合
Lighting Design|照明设计
The four-layer model|四层照明模型
In|材料特征
Broader concept; wood species are not resolved by this mapping|上位概念，此映射不区分木材树种
wood (plant material)|木材（植物材料）
Homeowner Answer|业主回答
Designer Note|设计师笔记
Offline Notes|本地笔记分析
Completed|已完成
Failed|失败
alignment_agent|对齐助手
homeowner_agent|业主助手
designer_agent|设计师助手
homeowner_and_designer|业主与设计师
Question Answered|已回答问题
Interview Continue|继续访谈
Interview Pause|暂停访谈
Project Created|创建项目
Decision Revised|修改决定
Preferences Updated|更新偏好
Designer Constraint Added|添加设计师约束
Reference Analysis Completed|参考分析完成
Attribute Reviewed|审阅偏好
Reference Added|添加参考
Approval Recorded|记录确认
you.|你的空间。
0% ready|完成度 0%
Why does it matter?|为什么重要？
Describe the impact or trade-off|说明影响或需要取舍的地方
Add designer constraint|添加设计师约束
Evidence for discussion|讨论依据
Your inspiration board|你的灵感板
The details you love|你喜欢的细节
Your inspiration board starts with one good detail.|从一个喜欢的细节，开始你的灵感板。
decisions confirmed|项决定已确认
Look at the colours, material contrasts and arrangement of furniture.|观察色彩、材料之间的对比，以及家具的布局。
Look at the colours, material contrasts and furniture arrangement.|观察色彩、材料之间的对比，以及家具的布局。
Previewing the first source results. Open the source to explore the complete selection.|当前展示来源的首批预览，可打开来源查看全部结果。
The live source is unavailable. Showing matching saved previews; you can also open the source directly.|实时来源暂不可用，当前展示匹配的已存预览，也可以直接打开来源。
broader material concept; local mapping, not exact equivalence|较宽泛的材料概念；此处为本地映射，并非完全等价
Art & Architecture Thesaurus, Getty Research Institute|盖蒂研究所《艺术与建筑词汇表》
Clarify|澄清
Focus|聚焦
Commit|共同确认
I translated that into a shared|已将回答整理为共同的
requirement and will cross-check it against the other side's constraints.|要求，并与另一方的约束交叉核对。
Offline note rules proposed|本地笔记分析提出了
attributes; image pixels were not analysed. Confidence is uncalibrated (0). Confirm or reject each proposal.|项偏好建议，未分析图片像素；置信度尚未校准（记为 0）。请逐项确认或拒绝。
Proposed from the homeowner's reference note:|根据业主参考笔记提出：
A new inspiration reference was added:|已添加新的灵感参考：
The homeowner|业主
confirmed the proposed|确认了建议的
rejected the proposed|拒绝了建议的
preference.|偏好。
confirmed|已确认
style|风格
colour|色彩
material|材料
lighting|照明
layout|布局
mood|氛围
function|功能
maintenance|养护
critical|关键
none|无
approval recorded for|确认已记录于
Projects are unavailable:|项目暂不可用：
Question limit reached; edit the brief to complete remaining decisions|本轮问题已暂停，请选择继续访谈或在简报中修改决定
Project changed; refresh before analysing|项目已有更新，请刷新后再分析
Project changed; refresh and try again|项目已有更新，请刷新后重试
Upload at least one reference|请先添加至少一条参考
Question has already been answered|这道问题已经回答
Answer is not one of the allowed options|请选择问题提供的选项
Finish this round before starting another|完成当前轮次后再开启下一轮
This follow-up does not apply to the current preferences|这道追问不适用于当前偏好
Your goals and must-avoid list are saved.|目标与必须避免的内容已保存。
Goals saved and shared with the designer-side agent.|目标已保存并与设计师侧共享。
Constraint added and cross-checked against confirmed preferences.|约束已添加，并与已确认偏好进行了交叉核对。
Detail recorded|细节已记录
Skipped|暂时跳过
No preference was confirmed. You can revisit this decision in the shared brief.|这次没有确认偏好，你可以在共享简报中重新修改这个决定。
This optional detail is saved alongside the core decisions in the shared brief.|这条可选细节已与核心决定一起保存在共享简报中。
The confirmed|已确认的
preference conflicts with a designer constraint.|偏好与设计师约束存在冲突。
Conflict resolved:|分歧处理结果：
accept designer constraint|接受设计师约束
retain preference after discussion|讨论后保留偏好
discuss offline|线下讨论
Reconcile multiple confirmed|请协调多项已确认的
values|偏好值
conflicts with a stated must-avoid preference|与必须避免的内容冲突
conflicts with an active designer constraint|与有效的设计师约束冲突
This question must be answered by the|这道题需要由以下角色回答：
Not sure|暂不确定
not sure|暂不确定
Uploaded inspiration reference|上传的灵感参考
Saved for discussion. Choose which details you like; saving does not confirm preferences.|已保存供讨论。请自行选择喜欢的细节，收藏不代表确认偏好。
Start with up to 10 questions, then choose whether to go deeper. No design vocabulary needed. You can revise answers later.|先聊最多十题，再由你决定是否深入。无需设计词汇，之后可以修改答案。
4-room HDB|四房式组屋
3-room HDB|三房式组屋
5-room HDB|五房式组屋
2-room HDB|二房式组屋
4-room BTO|四房式预购组屋
3-room BTO|三房式预购组屋
5-room BTO|五房式预购组屋
Resale|转售住宅
New|新住宅
resale|转售住宅
new|新住宅
Critical|关键
Regulatory|法规
Availability|供应情况
Other|其他
Advisory|建议
Requires Professional Review|需要专业审核
accept_designer_constraint|接受设计师约束
retain_preference_after_discussion|讨论后保留偏好
discuss_offline|线下讨论
Remove this detail|移除这条细节
